Inventory with related information;;;;;;;;;;Characterization factors (CFs) by impact category;;;;;;;;;;;;;;;;Global NF by impact category ;;;;;;;;;;;;;;;
Flow name;Flow name original;Substance name as commonly in the statistics;Additional Specification (e.g. Emission source);Compartment;Compartment (class 2);Global inventory 2010;Unit;Source;UUID;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals
(+/-) 2-(2,4-dichlorophenyl)-3-(1h-1,2,4-triazole-1-yl)propyl-1,1,2,2-tetrafluoroethylether;tetraconazole;;Fungicide;emissions to air;emissions to air, unspecified;5.90E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);a85e6f76-63bd-4900-b5c1-65e1efadb562;;;;4.19E-05;;;;;;;;;3.92E+03;;;;;;;2.47E+01;;;;;;;;;2.31E+09;;;
(+/-) 2-(2,4-dichlorophenyl)-3-(1h-1,2,4-triazole-1-yl)propyl-1,1,2,2-tetrafluoroethylether;tetraconazole;;Fungicide;emissions to soil;emissions to soil, unspecified;7.86E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);7c1401e3-7ada-4b4f-8fe3-062147c181fb;;;;5.79E-07;;;;;;;;;2.19E+02;;;;;;;4.55E-01;;;;;;;;;1.72E+08;;;
(+/-) 2-(2,4-dichlorophenyl)-3-(1h-1,2,4-triazole-1-yl)propyl-1,1,2,2-tetrafluoroethylether;tetraconazole;;Fungicide;emissions to water;emissions to water, unspecified;3.93E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);c5e0c380-1300-443d-8a08-d0fef4c41903;;;;9.66E-05;;;;;;;;;1.79E+05;;;;;;;3.80E+00;;;;;;;;;7.03E+09;;;
(1,1-dimethylpropyl)benzene;tert-pentylbenzene;;;emissions to air;emissions to air, unspecified;9.04E+07;kg;;ccbec6fe-c95b-4ad2-8f21-57fe3545302f;;;;;;;;;;;;;3.99E-01;;;;;;;;;;;;;;;;3.60E+07;;;
(1a,4a,4aß,5ß,8ß8aß)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene;(1a,4a,4aß,5ß,8ß8aß)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene;Isodrin;Industrial releases;emissions to air;emissions to air, unspecified;0.00E+00;kg;;4b5662b1-f468-492e-99e0-94b0ccf370b5;;;;;;;;;;;;;8.41E+03;;;;;;;;;;;;;;;;0.00E+00;;;
(1a,4a,4aß,5ß,8ß8aß)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene;(1a,4a,4aß,5ß,8ß8aß)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene;Isodrin;Industrial releases;emissions to soil;emissions to soil, unspecified;0.00E+00;kg;;65d574d6-b298-448c-8c37-7c277c0177e3;;;;;;;;;;;;;8.97E+03;;;;;;;;;;;;;;;;0.00E+00;;;
(1a,4a,4aß,5ß,8ß8aß)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene;(1a,4a,4aß,5ß,8ß8aß)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene;Isodrin;Industrial releases;emissions to water;emissions to water, unspecified;4.37E+03;kg;;892fe18b-ec06-4fc8-a40c-6eab7b0d1038;;;;;;;;;;;;;4.06E+06;;;;;;;;;;;;;;;;1.77E+10;;;
(2,4-dichlorophenoxy)acetic acid;(2,4-dichlorophenoxy)acetic acid;2,4-D;Herbicide, Plant growth regulator;emissions to air;emissions to air, unspecified;1.94E+07;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);fe0acd60-3ddc-11dd-a835-0050c2490048;;;0.00E+00;3.70E-06;;;;;;;;;8.35E+03;;;;;;0.00E+00;7.18E+01;;;;;;;;;1.62E+11;;;
(2,4-dichlorophenoxy)acetic acid;(2,4-dichlorophenoxy)acetic acid;2,4-D;Herbicide, Plant growth regulator;emissions to soil;emissions to soil, unspecified;9.55E+07;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);fe0acd60-3ddc-11dd-a834-0050c2490048;;;0.00E+00;9.27E-07;;;;;;;;;1.10E+04;;;;;;0.00E+00;8.86E+01;;;;;;;;;1.05E+12;;;
(2,4-dichlorophenoxy)acetic acid;(2,4-dichlorophenoxy)acetic acid;2,4-D;Herbicide, Plant growth regulator;emissions to water;emissions to water, unspecified;1.29E+06;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);fe0acd60-3ddc-11dd-a83b-0050c2490048;;;0.00E+00;1.62E-06;;;;;;;;;1.37E+05;;;;;;0.00E+00;2.10E+00;;;;;;;;;1.78E+11;;;
(halons);(halons);;Halon 1301+2402;emissions to air;emissions to air, unspecified;2.59E+06;kg;Fraser et al., 2013;Geometric mean of halon 1301 and halon 2402. Air, unspecified;3.95E+03;1.54E+01;;;;;;;;;;;;;;;1.02E+10;4.00E+07;;;;;;;;;;;;;;
(r)-2-(4-chloro-2-methylphenoxy)propionic acid;(r)-2-(4-chloro-2-methylphenoxy)propionic acid;Mecoprop-P;Herbicide;emissions to air;emissions to air, unspecified;3.96E+06;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);49c930d4-09e5-4759-b33b-529da407d3ad;;;;;;;;;;;;;7.51E+01;;;;;;;;;;;;;;;;2.97E+08;;;
(r)-2-(4-chloro-2-methylphenoxy)propionic acid;(r)-2-(4-chloro-2-methylphenoxy)propionic acid;Mecoprop-P;Herbicide;emissions to soil;emissions to soil, unspecified;1.93E+07;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);456652f8-0fa4-43c5-898c-afd832e61a1e;;;;;;;;;;;;;5.28E+01;;;;;;;;;;;;;;;;1.02E+09;;;
(r)-2-(4-chloro-2-methylphenoxy)propionic acid;(r)-2-(4-chloro-2-methylphenoxy)propionic acid;Mecoprop-P;Herbicide;emissions to water;emissions to water, unspecified;2.64E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);5892355e-9647-42fe-afd0-00869b37152e;;;;;;;;;;;;;3.26E+03;;;;;;;;;;;;;;;;8.61E+08;;;
