Process name,Flow name,Compartment,Amount,Normalized flow name,Normalized compartment
Propylene,asbestos (white) [Non-renewable material resources from ground],,-1.7475e-08,asbestos,
Propylene,olivine [Non-renewable material resources from ground],,-2.7445e-10,olivine,
Propylene,sodium chloride [Non-renewable material resources from ground],,-0.00079491,sodium chloride,
Propylene,mineral extraction site [Land occupation],,-3.287e-05,mineral extraction site,
Propylene,"agriculture, mosaic [Land occupation]",,-0.0032389,"agriculture,mosaic",
Propylene,"Volume occupied, underground deposit [Land occupation]",,-1.4859e-08,"volume occupied,underground deposit",
Propylene,ground water [Renewable material resources from water],,-0.00015962,ground water,
Propylene,"Wood, soft, standing [Renewable material resources from biosphere]",,-7.5847935e-07,"wood,soft,standing",
Propylene,kieserite [Non-renewable material resources from ground],,-1.2832e-10,kieserite,
Propylene,from unspecified [Land transformation],,-1.8023e-06,from unspecified,
Propylene,"Water, salt, sole [Renewable material resources from water]",,-1.0098,"water,salt,sole",
Propylene,sand [Non-renewable material resources from ground],,-1.6423e-08,sand,
Propylene,primary energy from hydro power [Renewable energy resources from water],,-0.13991,primary energy from hydro power,
Propylene,lake water [Renewable material resources from water],,-9.8479e-07,lake water,
Propylene,praseodymium [Non-renewable element resources from ground],,-2.8107e-09,praseodymium,
Propylene,kaolin [Non-renewable material resources from ground],,-3.6373e-06,kaolin,
Propylene,"Wood, primary forest, standing [Renewable material resources from biosphere]",,-2.888e-07,"wood,primary forest,standing",
Propylene,"from forest, primary [Land transformation]",,-6.0743e-09,"from forest,primary",
Propylene,barium sulfate [Non-renewable material resources from ground],,-1.5967e-06,barium sulfate,
Propylene,gypsum [Non-renewable material resources from ground],,-2.698777e-08,gypsum,
Propylene,neodymium [Non-renewable element resources from ground],,-2.649e-08,neodymium,
Propylene,carbon [Non-renewable material resources from ground],,-3.95211e-08,carbon,
Propylene,"from agriculture, mosaic [Land transformation]",,-2.4285e-06,"from agriculture,mosaic",
Propylene,granite [Non-renewable material resources from ground],,-1.7046e-15,granite,
Propylene,to unspecified [Land transformation],,-5.2571e-07,to unspecified,
Propylene,sodium sulfate [Non-renewable material resources from ground],,-6.0443e-06,sodium sulfate,
Propylene,magnesite [Non-renewable material resources from ground],,-1.225e-08,magnesite,
Propylene,cerium [Non-renewable element resources from ground],,-1.6066e-07,cerium,
